Commune,Latitude,Longitude
Valserhône,46.1231141,5.7964682
Divonne-les-Bains,46.3570916,6.143049
Ferney-Voltaire,46.2567057,6.1096409
Gex,46.333849,6.0577244
Plateau d'Hauteville,45.9302729,5.5820647
Meximieux,45.90363,5.1925264
Montrevel-en-Bresse,46.3373228,5.130295
Nantua,46.1534255,5.6058987
Oyonnax,46.2575174,5.6556181
Pont-de-Vaux,46.4316899,4.937635
Saint-Didier-sur-Chalaronne,46.1773643,4.8181107
Saint-Genis-Pouilly,46.243244,6.0207779
Thoiry,46.236193,5.9804153
Vonnas,46.2189665,4.9925097
Cosne-d'Allier,46.4753867,2.8317033
Domérat,46.359995,2.5368661
Lapalisse,46.2488636,3.6324006
Montmarault,46.3185636,2.9544319
Varennes-sur-Allier,46.3127469,3.4033756
Sisteron,44.468053,4.2076521
Aubenas,44.6205476,4.3902399
Le Cheylard,44.9093,4.42245
Joyeuse,44.4801272,4.2414292
Lamastre,44.9854888,4.5796372
Largentière,44.5425207,4.2930748
Privas,44.7352708,4.5986733
Saint-Agrève,45.0100141,4.3950488
Vals-les-Bains,44.6553304,4.365739
Mur-de-Barrez,45.0172212,2.7301503
Massiac,45.2513583,3.1990713
Mauriac,45.40471,3.26077
Maurs,44.7104199,2.1981937
Murat,46.4008462,2.9084037
Riom-ès-Montagnes,45.2832492,2.6594544
Saint-Flour,45.7084425,3.5026164
Saint-Amand-Montrond,46.6670819,2.6497569
Sancoins,46.7392273,2.9339598
Die,44.7533712,5.3689136
Dieulefit,44.5236962,5.0663637
Nyons,44.3611931,5.1408743
Pierrelatte,44.3778474,4.6976609
Saint-Donat-sur-l'Herbasse,45.1212493,4.9822895
Saint-Vallier,45.1784989,4.8157825
Pont-Saint-Esprit,44.2348595,4.5415542
Saint-Ambroix,44.30226,4.2090017
Les Avenières Veyrins-Thuellin,45.6411382,5.5536987
Beaurepaire,45.3391102,5.0551546
Crémieu,45.7241948,5.2474523
Montalieu-Vercieu,45.8159548,5.4038207
Morestel,45.675676,5.4711032
Le Pont-de-Beauvoisin,45.5359674,5.6704512
Roussillon,45.3735991,4.8124049
Saint-Jean-de-Bournay,45.501892,5.1389879
Saint-Laurent-du-Pont,45.387632,5.7344662
Saint-Marcellin,45.1539715,5.320347
Vif,45.0554868,5.669033
Vizille,45.0758358,5.7715863
Saint-Amour,45.7553527,4.8508534
Le Coteau,46.0205,4.09203
Noirétable,45.817108,3.7661111
Pélussin,45.4179803,4.678089
Renaison,46.0518286,3.9262267
Roanne,46.0345572,4.0729178
Brioude,45.293897,3.3853711
Brives-Charensac,45.0474,3.92197
Le Chambon-sur-Lignon,45.060809,4.302941
Craponne-sur-Arzon,45.3317039,3.8459302
Le Puy-en-Velay,45.0459739,3.8855537
Retournac,45.204168,4.0328094
Saugues,44.959244,3.5446108
Langogne,44.7038146,3.8850541
Ambert,45.5504338,3.742639
Arlanc,45.4138132,3.7246186
La Bourboule,45.5892481,2.7401614
Courpière,45.7559617,3.5325463
La Monnerie-le-Montel,45.8709833,3.6073529
Mont-Dore,45.5749966,2.8094117
Pontaumur,45.8680597,2.6755139
Puy-Guillaume,45.9598042,3.4755085
Saint-Éloy-les-Mines,46.1611691,2.8345577
Saint-Gervais-d'Auvergne,46.0294688,2.8211398
Thiers,45.855795,3.5489707
Amplepuis,45.9730698,4.3313792
Beaujeu,46.153071,4.5908435
Cours,46.0991652,4.3217677
Givors,45.5844238,4.7696529
Grigny,45.6099696,4.7881958
Saint-Laurent-de-Chamousset,45.7386043,4.4645889
Tarare,45.8942555,4.4371374
Thizy-les-Bourgs,46.0503867,4.3104903
Bourbon-Lancy,46.6297019,3.7027063
Digoin,46.2276709,4.0201712
Saint-Jean-de-Maurienne,45.2775258,6.3453329
Saint-Michel-de-Maurienne,45.2178751,6.4750846
Yenne,45.7036956,5.7587461
Cluses,46.0603171,6.5804218
Gaillard,46.1838437,6.211169
Saint-Julien-en-Genevois,46.1444789,6.0812467
Seyssel,45.9590439,5.8360212
Bollène,44.3229883,4.7621908
Sault,46.3226259,2.5559292
Apremont,46.2078288,5.6582683
Arbent,46.2946684,5.680467
Bellignat,46.2418811,5.6293467
Belleydoux,46.2525,5.77757
Dortan,46.3187758,5.6597536
Échallon,46.2108373,5.7403729
Géovreisset,46.255553,5.6176967
Groissiat,46.222,5.60825
Izernore,46.2205657,5.555109
Martignat,46.2097,5.61047
Matafelon-Granges,46.2507334,5.5425199
Samognat,46.2581,5.57559
Sonthonnax-la-Montagne,46.2324,5.52439
Arbigny,46.4693,4.96173
Asnières-sur-Saône,46.3839438,4.8824155
Boissey,46.3812,4.99533
