Latitude,Longitude,Ville
48.530986,4.19476,Torcy le petit
47.948417,5.210073,Faverolles
47.62417,7.23806,Altkirch
47.64139,7.23306,Aspach
47.48833,7.28083,Bendorf
47.58611,7.3825,Berentzwiller
47.58583,7.27694,Bettendorf
47.53611,7.21667,Bisel
47.505,7.34639,Bouxwiller
47.61667,7.20972,Carspach
47.4625,7.19861,Courtavon
47.48528,7.24028,Durlinsdorf
47.52861,7.33778,Durmenach
47.62556,7.2925,Emlingen
47.67278,7.20306,Saint-Bernard
47.53583,7.26528,Feldbach
47.49417,7.31472,Ferrette
47.60472,7.35583,Franken
47.605,7.32333,Hausgauen
47.66,7.24056,Heidwiller
47.57139,7.24056,Heimersdorf
47.62417,7.32083,Heiwiller
47.58722,7.25056,Hirsingue
47.59861,7.22361,Hirtzbach
47.60361,7.33222,Hundsbach
47.67417,7.26556,Illfurth
47.59778,7.36778,Jettingen
47.50583,7.27278,Koestlach
47.56306,7.18833,Largitzen
47.44972,7.20556,Levoncourt
47.48056,7.23083,Liebsdorf
47.47306,7.30611,Ligsdorf
47.42306,7.24722,Lucelle
47.50361,7.25417,Moernach
47.51,7.21861,Mooslargue
47.5594,7.3081,Illtal
47.45861,7.23306,Oberlarg
47.64611,7.31028,Obermorschwiller
47.50111,7.16639,Pfetterhouse
47.54278,7.28722,Riespach
47.565,7.26917,Ruederbach
47.61611,7.30333,Schwoben
47.53667,7.17639,Seppois-le-Bas
47.53305,7.18444,Seppois-le-Haut
47.48389,7.33583,Sondersdorf
47.68139,7.21778,Spechbach
47.55556,7.3375,Steinsoultz
47.62194,7.30222,Tagsdorf
47.5525,7.15778,Ueberstrass
47.63083,7.34611,Wahlbach
47.55278,7.31722,Waldighofen
47.64305,7.26528,Walheim
47.58611,7.31917,Willer
47.46056,7.26306,Winkel
48.9278,7.2178,Wittersdorf
47.606395,7.112446,Altenach
47.69028,7.16889,Bernwiller
47.62333,7.15972,Ballersdorf
47.66917,7.16861,Balschwiller
47.69,7.0675,Bellemagny
47.67028,7.07056,Bréchaumont
47.69889,7.07639,Bretten
47.65805,7.14722,Buethwiller
47.63083,7.02417,Chavannes-sur-l'Étang
47.63028,7.11833,Dannemarie
47.70944,7.11389,Diefmatten
47.66444,7.18194,Eglingen
47.6425,7.07944,Elbach
47.565,7.15028,Friesen
47.59278,7.14639,Fulleren
47.69028,7.13472,Gildwiller
47.64111,7.13028,Gommersdorf
47.6825,7.08111,Guevenatten
47.65028,7.15806,Hagenbach
47.69111,7.12528,Hecken
47.57222,7.14028,Hindlingen
47.62167,7.10444,Manspach
47.59083,7.13167,Mertzen
47.62083,7.0225,Montreux-Vieux
47.63139,7.09417,Retzwiller
47.68444,7.0625,Saint-Cosme
47.59583,7.12,Saint-Ulrich
47.69695,7.09472,Sternenberg
47.58361,7.12306,Strueth
47.65861,7.09833,Traubach-le-Bas
47.67028,7.0925,Traubach-le-Haut
47.63972,7.1125,Wolfersdorf
47.86583,7.35389,Ensisheim
47.91222,7.44556,Hirtzfelden
47.91389,7.35583,Meyenheim
47.86833,7.45056,Munchhouse
47.89667,7.35889,Réguisheim
47.88917,7.47111,Roggenhouse
47.87806,7.30528,Ungersheim
47.91861,7.24833,Bergholtz
47.93028,7.23472,Bergholtzzell
47.85,7.22139,Berrwiller
47.90806,7.21083,Guebwiller
47.86083,7.21694,Hartmannswiller
47.90306,7.25556,Issenheim
47.885,7.195,Jungholtz
47.94167,7.16,Lautenbach
47.94056,7.14639,Lautenbachzell
47.95389,7.12417,Linthal
47.91111,7.29417,Merxheim
47.92333,7.15806,Murbach
47.935,7.23333,Orschwihr
47.88833,7.28222,Raedersheim
47.90445,7.15528,Rimbach-près-Guebwiller
47.90056,7.175,Rimbachzell
47.88528,7.23083,Soultz-Haut-Rhin
47.87528,7.21167,Wuenheim
47.70056,7.36,Bruebach
47.72333,7.3225,Brunstatt-Didenheim
47.69722,7.31694,Flaxlanden
47.74667,7.36556,Riedisheim
47.67722,7.36667,Steinbrunn-le-Bas
47.6625,7.34806,Steinbrunn-le-Haut
47.69695,7.29361,Zillisheim
47.72055,7.38833,Zimmersheim
47.89556,6.98722,Fellering
47.88333,7.06056,Geishouse
47.88611,6.99833,Husseren-Wesserling
47.93028,6.96556,Kruth
47.86528,7.035,Malmerspach
47.87167,7.00639,Mitzach
47.87194,6.97389,Mollau
47.86056,7.05111,Moosch
47.90944,6.97639,Oderen
47.88613,7.01037,Ranspach
47.87611,7.03028,Saint-Amarin
47.87722,6.95778,Storckensohn
47.88333,6.95639,Urbès
47.97583,6.96194,Wildenstein
47.56694,7.46361,Attenschwiller
47.51,7.41361,Bettlach
47.46972,7.44806,Biederthal
47.60222,7.49694,Blotzheim
47.55889,7.50889,Buschwiller
47.505,7.38306,Fislis
47.55111,7.44472,Folgensbourg
47.52611,7.47722,Hagenthal-le-Bas
47.52139,7.46861,Hagenthal-le-Haut
47.5625,7.52639,Hégenheim
47.57528,7.51917,Hésingue
47.59417,7.5825,Huningue
47.44167,7.35889,Kiffis
47.56361,7.4025,Knœringue
47.49611,7.4825,Leymen
47.50556,7.39722,Linsdorf
47.46722,7.38,Lutter
47.59389,7.46472,Michelbach-le-Bas
47.56694,7.44389,Michelbach-le-Haut
47.54611,7.40167,Muespach-le-Haut
47.52472,7.51472,Neuwiller
47.475,7.36556,Raedersdorf
47.58806,7.44639,Ranspach-le-Bas
47.57806,7.42028,Ranspach-le-Haut
47.63889,7.53444,Rosenau
47.61361,7.53667,Saint-Louis
47.60639,7.57222,Village-Neuf
47.54972,7.47889,Wentzwiller
47.51639,7.35722,Werentzhouse
47.46222,7.40833,Wolschwiller
47.63583,7.47694,Bartenheim
47.62667,7.45889,Brinckheim
47.61861,7.43639,Kappelen
47.68694,7.50306,Kembs
47.64917,7.39,Koetzingue
47.63889,7.40972,Magstatt-le-Bas
47.63361,7.39528,Magstatt-le-Haut
47.71306,7.51028,Niffer
47.65167,7.37639,Rantzwiller
47.65528,7.45417,Sierentz
47.62528,7.42722,Stetten
47.65,7.44194,Uffheim
