Commune,INSEE,Latitude,Longitude
Allineuc,22001,48.3147,-2.8693
Le Bodéo,22009,48.3266,-2.9196
La Bouillie,22012,48.5875,-2.4398
Bourbriac,22013,48.4649,-3.1973
Île-de-Bréhat,22016,48.8501,-3.0083
Bulat-Pestivien,22023,48.4317,-3.3347
Calanhel,22024,48.4377,-3.4679
Callac,22025,48.4192,-3.4138
Carnoët,22031,48.3569,-3.5424
Caurel,22033,48.2199,-3.0375
La Chapelle-Neuve,22037,48.466,-3.4389
La Chèze,22039,48.1319,-2.6618
Coadout,22040,48.5154,-3.1728
Cohiniac,22045,48.4513,-2.9464
Le Mené,22046,48.2837,-2.5144
Duault,22052,48.3638,-3.4361
Le Faouët,22057,48.6798,-3.0726
Le Fœil,22059,48.4153,-2.9055
Gausson,22060,48.2916,-2.7615
Gomené,22062,48.1835,-2.4935
Gommenec'h,22063,48.6362,-3.0481
Goudelin,22065,48.606,-3.0245
Grâces,22067,48.5478,-3.1847
Grâce-Uzel,22068,48.252,-2.7951
Guingamp,22070,48.5608,-3.1533
Gurunhuel,22072,48.5114,-3.2883
La Harmoye,22073,48.3472,-2.9737
Hémonstoir,22075,48.1573,-2.85
Hénanbihen,22076,48.559,-2.3861
Kerien,22088,48.4097,-3.2274
Lanfains,22099,48.3699,-2.912
Lannebert,22112,48.6498,-3.0118
Lanvellec,22119,48.6069,-3.5285
Lanvollon,22121,48.6342,-2.9913
Laurenan,22122,48.214,-2.5092
Lescouët-Gouarec,22124,48.17,-3.2064
Le Leslay,22126,48.4222,-2.9629
Locarn,22128,48.3317,-3.4177
Lohuec,22132,48.4627,-3.5294
Loudéac,22136,48.1737,-2.7442
Maël-Pestivien,22138,48.4101,-3.2949
Magoar,22139,48.4017,-3.176
Matignon,22143,48.6023,-2.2916
La Méaugon,22144,48.5036,-2.8472
Merléac,22149,48.2721,-2.9112
Le Merzer,22150,48.5804,-3.0778
La Motte,22155,48.2342,-2.7052
Moustéru,22156,48.5282,-3.2329
Le Moustoir,22157,48.2729,-3.4855
Guerlédan,22158,48.1955,-2.9481
Pabu,22161,48.5861,-3.1445
Plaine-Haute,22170,48.4458,-2.861
Plaintel,22171,48.4054,-2.8072
Pléboulle,22174,48.5951,-2.33
Plédran,22176,48.4426,-2.7381
Pléguien,22177,48.6351,-2.9527
Fréhel,22179,48.6334,-2.3713
Plémet,22183,48.1732,-2.596
Plerneuf,22188,48.5051,-2.8824
Plésidy,22189,48.4444,-3.1292
Plévenon,22201,48.6581,-2.3171
Plévin,22202,48.22,-3.5191
Plœuc-L'Hermitage,22203,48.3353,-2.8172
Plouaret,22207,48.6161,-3.4832
Ploufragan,22215,48.4915,-2.8001
Plougonver,22216,48.4848,-3.3859
Plouguenast-Langast,22219,48.2802,-2.6933
Plouisy,22223,48.5775,-3.1885
Ploumagoar,22225,48.5295,-3.1096
Plounérin,22227,48.5667,-3.5472
Plourac'h,22231,48.416,-3.5531
Plouvara,22234,48.4962,-2.9259
Plouzélambre,22235,48.6476,-3.5346
Pludual,22236,48.6653,-2.9868
Plufur,22238,48.6141,-3.5756
Plumieux,22241,48.0957,-2.5885
Plurien,22242,48.6115,-2.3959
Plusquellec,22243,48.3968,-3.4821
Pommerit-le-Vicomte,22248,48.6182,-3.0959
Pont-Melvez,22249,48.475,-3.2837
La Prénessaye,22255,48.1852,-2.6479
Le Quillio,22260,48.2439,-2.9033
Quintin,22262,48.4029,-2.9132
Ruca,22268,48.5598,-2.336
Saint-Adrien,22271,48.4931,-3.1318
Saint-Agathon,22272,48.5664,-3.0995
Saint-Barnabé,22275,48.1387,-2.6995
Saint-Bihy,22276,48.3763,-2.9697
Saint-Brandan,22277,48.3904,-2.8736
Saint-Caradec,22279,48.1993,-2.8653
Saint-Carreuc,22281,48.4017,-2.7471
Saint-Cast-le-Guildo,22282,48.6077,-2.2499
Saint-Clet,22283,48.6694,-3.1348
Saint-Connan,22284,48.4108,-3.0786
Saint-Connec,22285,48.1821,-2.9259
Saint-Donan,22287,48.4633,-2.8856
Saint-Étienne-du-Gué-de-l'Isle,22288,48.0816,-2.6398
Saint-Fiacre,22289,48.456,-3.0546
Saint-Gildas,22291,48.4255,-3.0014
Saint-Gilles-les-Bois,22293,48.6569,-3.0884
Saint-Gilles-Pligeaux,22294,48.3767,-3.0836
Saint-Gilles-Vieux-Marché,22295,48.2481,-2.973
Saint-Glen,22296,48.3468,-2.5266
Saint-Hervé,22300,48.2761,-2.8122
Saint-Julien,22307,48.4486,-2.8177
Saint-Martin-des-Prés,22313,48.3031,-2.9674
Saint-Maudan,22314,48.1071,-2.7672
Saint-Mayeux,22316,48.264,-3.021
