Code Insee,Commune,Latitude,Longitude
01060,Brénod,46.076,5.614
01080,Champdor-Corcelles,46.02,5.6
01101,Chevillard,46.11,5.581
01112,Condamine,46.106,5.556
01124,Cormoz,46.434,5.222
01128,Courtes,46.457,5.111
01139,Curciat-Dongalon,46.488,5.163
01187,Haut Valromey,46.032,5.703
01191,Izenave,46.038,5.524
01206,Lantenay,46.054,5.541
01212,Lescheroux,46.412,5.151
01230,Mantenay-Montlin,46.43,5.107
01282,Outriaz,46.068,5.557
01364,Saint-Jean-sur-Reyssouze,46.397,5.063
01367,Saint-Julien-sur-Reyssouze,46.4,5.104
01380,Saint-Nizier-le-Bouchoux,46.453,5.176
01388,Saint-Trivier-de-Courtes,46.461,5.067
01406,Servignat,46.435,5.056
01433,Vernoux,46.485,5.106
01437,Vescours,46.474,5.026
01441,Vieu-d'Izenave,46.085,5.549
02004,Agnicourt-et-Séchelles,49.717,3.96
02009,Alaincourt,49.767,3.366
02018,Anizy-le-Grand,49.504,3.431
02020,Any-Martin-Rieux,49.882,4.224
02021,Archon,49.744,4.119
02031,Aubenton,49.825,4.191
02035,Audigny,49.866,3.631
02038,Les Autels,49.761,4.224
02039,Autremencourt,49.705,3.794
02049,Barisis-aux-Bois,49.578,3.328
02050,Barzy-en-Thiérache,50.04,3.749
02052,Bassoles-Aulers,49.533,3.385
02055,Beaumé,49.821,4.152
02066,Benay,49.755,3.309
02067,Bergues-sur-Sambre,50.03,3.711
02068,Berlancourt,49.781,3.757
02069,Berlise,49.662,4.113
02075,Berthenicourt,49.779,3.372
02078,Besmé,49.534,3.165
02079,Besmont,49.823,4.118
02090,Billy-sur-Ourcq,49.222,3.299
02096,Bois-lès-Pargny,49.737,3.654
02101,Bosmont-sur-Serre,49.739,3.867
02103,Boué,50.012,3.714
02107,Bourguignon-sous-Coucy,49.543,3.154
02111,Brancourt-en-Laonnois,49.518,3.413
02123,Brissay-Choigny,49.723,3.396
02124,Brissy-Hamégicourt,49.743,3.4
02125,Brumetz,49.11,3.153
02126,Brunehamel,49.772,4.186
02130,Bucilly,49.866,4.093
02134,Buire,49.907,4.057
02135,Buironfosse,49.958,3.838
02141,La Capelle,49.973,3.914
02149,Cerizy,49.767,3.333
02155,Chaillevois,49.508,3.522
02159,Champs,49.544,3.262
02160,Chaourse,49.701,3.986
02169,Châtillon-lès-Sons,49.762,3.703
02170,Châtillon-sur-Oise,49.794,3.416
02181,Chéry-lès-Rozoy,49.722,4.101
02182,Chevennes,49.818,3.737
02185,Chézy-en-Orxois,49.127,3.168
02188,Chigny,49.93,3.775
02194,Cilly,49.749,3.84
02197,Clairfontaine,49.974,3.987
02204,Coingt,49.792,4.096
02206,Colonfay,49.858,3.711
02217,Coucy-le-Château-Auffrique,49.516,3.316
02219,Coucy-la-Ville,49.541,3.344
02244,Crupilly,49.931,3.752
02248,Cuirieux,49.683,3.82
02251,Cuiry-lès-Iviers,49.766,4.104
02261,Dercy,49.71,3.685
02265,Dohis,49.767,4.142
02269,Dorengt,49.965,3.703
02274,Ébouleau,49.678,3.883
02275,Effry,49.919,3.988
02278,Éparcy,49.886,4.07
02283,Erlon,49.735,3.705
02284,Erloy,49.92,3.838
02286,Esquéhéries,49.982,3.753
02287,Essigny-le-Grand,49.774,3.272
02298,Étreux,50.0,3.659
02308,Fesmy-le-Sart,50.048,3.698
02312,La Flamengrie,50.0,3.925
02313,Flavigny-le-Grand-et-Beaurain,49.887,3.674
02318,Folembray,49.549,3.293
02324,Fontenelle,50.031,3.846
02333,Fresnes-sous-Coucy,49.555,3.37
02337,Froidestrées,49.943,3.91
02338,Froidmont-Cohartille,49.682,3.721
02342,Gergny,49.933,3.93
02345,Gibercourt,49.739,3.283
02350,Goudelancourt-lès-Pierrepont,49.678,3.852
02354,Grandrieux,49.729,4.188
02361,Guise,49.896,3.625
02363,Guny,49.512,3.261
02366,Hannapes,49.977,3.614
02375,Hautevesnes,49.109,3.236
02376,Hauteville,49.888,3.524
02378,La Hérie,49.884,4.044
02379,Le Hérie-la-Viéville,49.822,3.654
02380,Hinacourt,49.746,3.294
02381,Hirson,49.943,4.105
02385,Housset,49.796,3.695
02386,Iron,49.95,3.665
02387,Itancourt,49.803,3.349
02388,Iviers,49.786,4.136
02403,Landifay-et-Bertaignemont,49.826,3.604
02405,Landouzy-la-Ville,49.856,4.05
02414,Lavaqueresse,49.946,3.717
02418,Lerzy,49.95,3.881
02419,Leschelle,49.961,3.777
02422,Lesquielles-Saint-Germain,49.932,3.628
02425,Leuze,49.858,4.17
02433,Lislet,49.676,4.021
02435,Logny-lès-Aubenton,49.833,4.22
02444,Lugny,49.782,3.812
02445,Luzoir,49.927,3.96
02446,Ly-Fontaine,49.732,3.311
02448,Mâchecourt,49.652,3.838
02450,Macquigny,49.873,3.571
02455,Malzy,49.921,3.73
02460,Marcy-sous-Marle,49.746,3.734
02463,Marfontaine,49.808,3.764
02468,Marle,49.745,3.765
02469,Marly-Gomont,49.891,3.785
02470,Martigny,49.867,4.134
02478,Merlieux-et-Fouquerolles,49.514,3.499
02483,Mézières-sur-Oise,49.792,3.387
02491,Monceau-le-Neuf-et-Faucouzy,49.785,3.631
02494,Monceau-sur-Oise,49.91,3.7
02495,Mondrepuis,49.964,4.051
02502,Montcornet,49.689,4.029
02503,Mont-d'Origny,49.852,3.527
02513,Montigny-le-Franc,49.688,3.918
02516,Montigny-sous-Marle,49.741,3.804
