Code INSEE,Commune,Latitude,Longitude
01001,L'Abergement-Clémenciat,46.153,4.926
01002,L'Abergement-de-Varey,46.009,5.428
01004,Ambérieu-en-Bugey,45.961,5.373
01005,Ambérieux-en-Dombes,45.996,4.912
01006,Ambléon,45.75,5.594
01007,Ambronay,46.006,5.358
01008,Ambutrix,45.937,5.333
01009,Andert-et-Condon,45.787,5.658
01013,Arandas,45.891,5.499
01015,Arboys en Bugey,45.724,5.653
01021,Ars-sur-Formans,45.994,4.822
01022,Artemare,45.87,5.691
01025,Bâgé-Dommartin,46.323,4.953
01026,Bâgé-le-Châtel,46.308,4.929
01027,Balan,45.831,5.108
01028,Baneins,46.114,4.902
01030,Beauregard,46.001,4.756
01032,Béligneux,45.859,5.14
01034,Belley,45.75,5.684
01036,Valromey-sur-Séran,45.885,5.651
01038,Bény,46.319,5.282
01041,Bettant,45.937,5.367
01043,Beynost,45.839,4.997
01045,Birieux,45.953,5.037
01047,Blyes,45.847,5.252
01049,La Boisse,45.845,5.028
01052,Bouligneux,46.023,4.992
01053,Bourg-en-Bresse,46.205,5.246
01056,Boyeux-Saint-Jérôme,46.036,5.463
01058,Brégnier-Cordon,45.642,5.616
01061,Brens,45.714,5.69
01062,Bressolles,45.869,5.101
01065,Buellas,46.21,5.145
01066,La Burbanche,45.86,5.546
01068,Cerdon,46.072,5.476
01069,Certines,46.134,5.262
01072,Ceyzériat,46.183,5.32
01073,Ceyzérieu,45.834,5.719
01075,Chaleins,46.034,4.798
01077,Challes-la-Montagne,46.122,5.458
01079,Champagne-en-Valromey,45.932,5.693
01083,Chaneins,46.094,4.855
01084,Chanoz-Châtenay,46.186,5.028
01085,La Chapelle-du-Châtelard,46.074,5.022
01089,Château-Gaillard,45.973,5.308
01092,Châtillon-la-Palud,45.975,5.242
01093,Châtillon-sur-Chalaronne,46.123,4.958
01095,Nivigne et Suran,46.275,5.416
01098,Chazey-Bons,45.793,5.685
01100,Cheignieu-la-Balme,45.823,5.605
01105,Civrieux,45.922,4.886
01106,Cize,46.2,5.451
01107,Cleyzieu,45.902,5.433
