Code Insee,Commune,Latitude,Longitude
01010,Anglefort,45.909,5.795
01011,Apremont,46.206,5.658
01012,Aranc,46.002,5.511
01014,Arbent,46.284,5.691
01016,Arbigny,46.478,4.96
01017,Argis,45.934,5.482
01019,Armix,45.854,5.584
01023,Asnières-sur-Saône,46.386,4.884
01024,Attignat,46.286,5.18
01029,Beaupont,46.429,5.26
01031,Bellignat,46.237,5.636
01033,Valserhône,46.107,5.832
01035,Belleydoux,46.253,5.785
01037,Bénonces,45.838,5.483
01040,Béréziat,46.367,5.04
01042,Bey,46.219,4.846
01044,Billiat,46.079,5.766
01046,Biziat,46.227,4.941
01050,Boissey,46.373,4.999
01051,Bolozon,46.196,5.471
01054,Bourg-Saint-Christophe,45.886,5.144
01057,Boz,46.405,4.914
01060,Brénod,46.076,5.614
01063,Brion,46.169,5.547
01064,Briord,45.771,5.485
01067,Ceignes,46.126,5.495
01071,Cessy,46.316,6.078
01074,Chalamont,46.008,5.169
01076,Chaley,45.953,5.537
01078,Challex,46.177,5.971
01080,Champdor-Corcelles,46.02,5.6
01081,Champfromier,46.22,5.822
01082,Chanay,46.006,5.769
01087,Charix,46.186,5.681
01088,Charnoz-sur-Ain,45.874,5.221
01090,Châtenay,46.026,5.205
01094,Chavannes-sur-Reyssouze,46.438,5.007
01096,Chaveyriat,46.199,5.056
01099,Chazey-sur-Ain,45.893,5.255
01101,Chevillard,46.11,5.581
01102,Chevroux,46.382,4.963
01103,Chevry,46.283,6.047
01104,Chézery-Forens,46.223,5.872
01108,Coligny,46.387,5.331
01109,Collonges,46.142,5.9
01112,Condamine,46.106,5.556
01113,Condeissiat,46.154,5.084
01114,Confort,46.154,5.833
01115,Confrançon,46.27,5.058
01118,Corbonod,45.966,5.79
01121,Corlier,46.034,5.496
01124,Cormoz,46.434,5.222
01127,Courmangoux,46.327,5.356
01128,Courtes,46.457,5.111
01129,Crans,45.966,5.195
01130,Bresse Vallons,46.313,5.178
01135,Crozet,46.292,5.995
01139,Curciat-Dongalon,46.488,5.163
01140,Curtafond,46.273,5.102
01143,Divonne-les-Bains,46.376,6.116
01147,Domsure,46.424,5.293
01148,Dortan,46.313,5.642
01152,Échallon,46.227,5.733
01153,Échenevex,46.316,6.019
01155,Évosges,45.965,5.503
01156,Faramans,45.91,5.125
01158,Farges,46.166,5.9
01160,Ferney-Voltaire,46.252,6.108
01163,Foissiat,46.378,5.185
01167,Garnerans,46.214,4.828
01170,Béard-Géovreissiat,46.19,5.551
01171,Géovreisset,46.251,5.613
01173,Gex,46.347,6.046
01174,Giron,46.223,5.78
01175,Gorrevod,46.415,4.951
01180,Grilly,46.332,6.114
01181,Groissiat,46.226,5.611
01185,Plateau d'Hauteville,45.97,5.576
01187,Haut Valromey,46.032,5.703
01188,Illiat,46.187,4.888
01189,Injoux-Génissiat,46.05,5.76
01191,Izenave,46.038,5.524
01192,Izernore,46.218,5.563
01196,Jayat,46.366,5.114
01200,Labalme,46.093,5.494
01204,Le Poizat-Lalleyriat,46.148,5.718
01206,Lantenay,46.054,5.541
01209,Léaz,46.109,5.876
01210,Lélex,46.286,5.929
01212,Lescheroux,46.412,5.151
01214,Leyssard,46.162,5.476
01215,Surjoux-Lhopital,46.024,5.762
01216,Lhuis,45.744,5.536
01219,Lompnas,45.811,5.523
01228,Maillat,46.12,5.528
01229,Malafretaz,46.33,5.144
01230,Mantenay-Montlin,46.43,5.107
01231,Manziat,46.364,4.902
01232,Marboz,46.343,5.244
01236,Marsonnas,46.341,5.064
01237,Martignat,46.203,5.614
01239,Massignieu-de-Rives,45.757,5.762
01240,Matafelon-Granges,46.256,5.54
01244,Meximieux,45.906,5.204
01246,Mézériat,46.242,5.047
01247,Mijoux,46.362,6.009
01252,Mogneneins,46.145,4.82
01255,Montagnieu,45.799,5.464
01257,Montanges,46.173,5.79
01260,Le Montellier,45.929,5.071
01265,Montréal-la-Cluse,46.18,5.595
01266,Montrevel-en-Bresse,46.325,5.113
01267,Nurieux-Volognat,46.183,5.514
01269,Nantua,46.154,5.614
01274,Les Neyrolles,46.134,5.637
01281,Ornex,46.278,6.094
01282,Outriaz,46.068,5.557
01283,Oyonnax,46.26,5.653
01284,Ozan,46.387,4.918
01286,Parves et Nattages,45.744,5.738
01288,Péron,46.191,5.92
01290,Pérouges,45.88,5.18
01291,Perrex,46.246,4.975
01293,Peyriat,46.15,5.506
01295,Peyzieux-sur-Saône,46.123,4.822
01296,Pirajoux,46.386,5.274
01298,Plagne,46.188,5.718
