Code Insee,Commune,Latitude,Longitude
01060,Brénod,46.076,5.614
01080,Champdor-Corcelles,46.02,5.6
01101,Chevillard,46.11,5.581
01112,Condamine,46.106,5.556
01124,Cormoz,46.434,5.222
01128,Courtes,46.457,5.111
01139,Curciat-Dongalon,46.488,5.163
01187,Haut Valromey,46.032,5.703
01191,Izenave,46.038,5.524
01206,Lantenay,46.054,5.541
01212,Lescheroux,46.412,5.151
01230,Mantenay-Montlin,46.43,5.107
01282,Outriaz,46.068,5.557
01364,Saint-Jean-sur-Reyssouze,46.397,5.063
01367,Saint-Julien-sur-Reyssouze,46.4,5.104
01380,Saint-Nizier-le-Bouchoux,46.453,5.176
01388,Saint-Trivier-de-Courtes,46.461,5.067
01406,Servignat,46.435,5.056
01433,Vernoux,46.485,5.106
01437,Vescours,46.474,5.026
01441,Vieu-d'Izenave,46.085,5.549
02004,Agnicourt-et-Séchelles,49.717,3.96
02005,Aguilcourt,49.394,3.968
02006,Aisonville-et-Bernoville,49.93,3.511
02007,Aizelles,49.485,3.819
02009,Alaincourt,49.767,3.366
02012,Ambrief,49.322,3.404
02013,Amifontaine,49.499,3.923
02018,Anizy-le-Grand,49.504,3.431
02020,Any-Martin-Rieux,49.882,4.224
02021,Archon,49.744,4.119
02022,Arcy-Sainte-Restitue,49.255,3.478
02023,Armentières-sur-Ourcq,49.173,3.388
02027,Assis-sur-Serre,49.68,3.555
02031,Aubenton,49.825,4.191
02033,Aubigny-en-Laonnois,49.497,3.793
02035,Audigny,49.866,3.631
02038,Les Autels,49.761,4.224
02039,Autremencourt,49.705,3.794
02040,Autreppes,49.897,3.856
02042,Azy-sur-Marne,49.004,3.359
02044,Bancigny,49.798,4.037
02046,Barenton-Bugny,49.622,3.661
02047,Barenton-Cel,49.648,3.645
02048,Barenton-sur-Serre,49.668,3.689
02049,Barisis-aux-Bois,49.578,3.328
02050,Barzy-en-Thiérache,50.04,3.749
02051,Barzy-sur-Marne,49.091,3.562
02052,Bassoles-Aulers,49.533,3.385
02053,Vallées en Champagne,48.99,3.605
02055,Beaumé,49.821,4.152
02058,Beaurieux,49.403,3.753
02062,Belleau,49.083,3.3
02066,Benay,49.755,3.309
02067,Bergues-sur-Sambre,50.03,3.711
02068,Berlancourt,49.781,3.757
02069,Berlise,49.662,4.113
02070,Bernot,49.879,3.487
02072,Berrieux,49.482,3.852
02073,Berry-au-Bac,49.408,3.898
02075,Berthenicourt,49.779,3.372
02076,Bertricourt,49.398,4.012
02078,Besmé,49.534,3.165
02079,Besmont,49.823,4.118
02082,Beugneux,49.228,3.416
02083,Beuvardes,49.131,3.492
02085,Bézu-Saint-Germain,49.105,3.408
02090,Billy-sur-Ourcq,49.222,3.299
02093,Blérancourt,49.508,3.152
02094,Blesmes,49.026,3.464
02096,Bois-lès-Pargny,49.737,3.654
02097,Boncourt,49.626,3.956
02098,Bonneil,49.008,3.346
02099,Bonnesvalyn,49.126,3.325
02101,Bosmont-sur-Serre,49.739,3.867
02102,Bouconville-Vauclair,49.461,3.757
02103,Boué,50.012,3.714
02104,Bouffignereux,49.379,3.846
02105,Bouresches,49.067,3.317
02106,Bourg-et-Comin,49.402,3.659
02107,Bourguignon-sous-Coucy,49.543,3.154
02108,Bourguignon-sous-Montbavin,49.529,3.538
02109,La Bouteille,49.878,3.962
02111,Brancourt-en-Laonnois,49.518,3.413
02114,Brasles,49.057,3.424
02115,Braye-en-Laonnois,49.438,3.61
02116,Braye-en-Thiérache,49.768,3.963
02119,Brécy,49.14,3.424
02121,Breny,49.184,3.35
02123,Brissay-Choigny,49.723,3.396
02124,Brissy-Hamégicourt,49.743,3.4
02125,Brumetz,49.11,3.153
02126,Brunehamel,49.772,4.186
02127,Bruyères-sur-Fère,49.2,3.445
02130,Bucilly,49.866,4.093
02133,Bucy-lès-Pierrepont,49.647,3.904
02134,Buire,49.907,4.057
02135,Buironfosse,49.958,3.838
02136,Burelles,49.769,3.912
02137,Bussiares,49.077,3.25
02138,Buzancy,49.31,3.348
02140,Camelin,49.52,3.128
02141,La Capelle,49.973,3.914
02146,Celles-lès-Condé,49.015,3.57
02149,Cerizy,49.767,3.333
02150,Cerny-en-Laonnois,49.45,3.68
02154,Chacrise,49.3,3.398
02155,Chaillevois,49.508,3.522
02156,Chalandry,49.67,3.644
02158,Chamouille,49.472,3.671
02159,Champs,49.544,3.262
02160,Chaourse,49.701,3.986
02164,Le Charmel,49.112,3.541
02166,Chartèves,49.09,3.509
02168,Château-Thierry,49.056,3.382
02169,Châtillon-lès-Sons,49.762,3.703
02170,Châtillon-sur-Oise,49.794,3.416
02171,Chaudardes,49.396,3.789
02172,Chaudun,49.315,3.253
02178,Chermizy-Ailles,49.463,3.72
02180,Chéry-lès-Pouilly,49.649,3.594
02181,Chéry-lès-Rozoy,49.722,4.101
02182,Chevennes,49.818,3.737
02183,Chevregny,49.466,3.594
02184,Chevresis-Monceau,49.762,3.584
02185,Chézy-en-Orxois,49.127,3.168
02187,Chierry,49.035,3.433
02188,Chigny,49.93,3.775
02189,Chivres-en-Laonnois,49.627,3.856
02193,Cierges,49.165,3.604
02194,Cilly,49.749,3.84
02197,Clairfontaine,49.974,3.987
02200,Clermont-les-Fermes,49.66,3.943
02203,Coincy,49.163,3.436
02204,Coingt,49.792,4.096
02205,Colligis-Crandelain,49.467,3.63
02206,Colonfay,49.858,3.711
02208,Concevreux,49.376,3.788
02209,Condé-en-Brie,49.002,3.561
