territoire,commune,code_commune,latitude,longitude
Aléria-Cervione exh. 2B12 Santa-Lucia-di-Moriani 28307 Zone d'intervention prioritaire,Santa-Lucia-di-Moriani,28307,42.3842071,9.5299084
Aléria-Cervione 2B12 Aléria 2B009 Zone d'intervention prioritaire,Aléria,2B009,42.1135718,9.5144732
Aléria-Cervione 2B12 Antisanti 2B016 Zone d'intervention prioritaire,Antisanti,2B016,42.1667523,9.3471310
Aléria-Cervione 2812 Giuncaggio 28126 Zone d'intervention prioritaire,Giuncaggio,28126,42.2165800,9.3670552
Aléria-Cervione 2812 Moita 28161 Zone d'intervention prioritaire,Moita,28161,42.2788557,9.4126986
Aléria-Cervione 2812 Ampriani 28015 Zone d'intervention prioritaire,Ampriani,28015,42.2543000,9.3573690
Aléria-Cervione 2812 Piazzali 2B216 Zone d'intervention prioritaire,Piazzali,2B216,42.3191271,9.4067504
Aléria-Cervione 2812 Campi 2B053 Zone d'intervention prioritaire,Campi,2B053,42.2712500,9.4228300
Aléria-Cervione 2812 San-Giovanni-di-Moriani 28302 Zone d'intervention prioritaire,San-Giovanni-di-Moriani,28302,42.3770212,9.4768621
Aléria-Cervione 2812 San-Nicolao 28313 Zone d'intervention prioritaire,San-Nicolao,28313,42.3706486,9.5000839
Aléria-Cervione 2812 Novale 28179 Zone d'intervention prioritaire,Novale,28179,42.3096000,9.4148900
Aléria-Cervione 2B12 Tallone 28320 Zone d'intervention prioritaire,Tallone,28320,42.2315175,9.4135380
Aléria-Cervione 2812 Pietra-di-Verde 28225 Zone d'intervention prioritaire,Pietra-di-Verde,28225,42.2987071,9.4508212
Aléria-Cervione 2812 Tox 28328 Zone d'intervention prioritaire,Tox,28328,42.2512729,9.4302487
Aléria-Cervione 2812 Zuani 28364 Zone d'intervention prioritaire,Zuani,28364,42.2704500,9.3462600
Aléria-Cervione 2812 Felce 28111 Zone d'intervention prioritaire,Felce,28111,42.3499886,9.4173512
Aléria-Cervione 2812 Chiatra 28088 Zone d'intervention prioritaire,Chiatra,28088,42.2913586,9.4751590
Aléria-Cervione 2812 Linguizzetta 28143 Zone d'intervention prioritaire,Linguizzetta,28143,42.2636900,9.4729900
Aléria-Cervione 2812 Cervione 28087 Zone d'intervention prioritaire,Cervione,28087,42.3322737,9.4919200
Aléria-Cervione 2812 Valle-d'Alesani 28334 Zone d'intervention prioritaire,Valle-d'Alesani,28334,42.3269450,9.4164631
Aléria-Cervione 2812 San-Giuliano 28303 Zone d'intervention prioritaire,San-Giuliano,28303,42.3148695,9.4932028
Aléria-Cervione 2812 Canale-di-Verde 28057 Zone d'intervention prioritaire,Canale-di-Verde,28057,42.2741400,9.4790000
Aléria-Cervione 2B12 Valle-di-Campoloro 2B335 Zone d'intervention prioritaire,Valle-di-Campoloro,2B335,42.3353329,9.4939812
Aléria-Cervione 2812 Perelli 2B208 Zone d'intervention prioritaire,Perelli,2B208,42.3235577,9.3935275
Aléria-Cervione 2812 Pietricaggio 28227 Zone d'intervention prioritaire,Pietricaggio,28227,42.3350651,9.3889860
Aléria-Cervione 2812 Ortale 2B194 Zone d'intervention prioritaire,Ortale,2B194,42.3166718,9.4228224
Aléria-Cervione 2812 Sant'Andréa-di-Cotone 28293 Zone d'intervention prioritaire,Sant'Andréa-di-Cotone,28293,42.3132786,9.4798889
Aléria-Cervione 2812 Santa-Reparata-di-Moriani 28317 Zone d'intervention prioritaire,Santa-Reparata-di-Moriani,28317,42.3566434,9.4603301
Aléria-Cervione 2812 Zalana 28356 Zone d'intervention prioritaire,Zalana,28356,42.2604476,9.3729635
Alta-Rocca 2A07 San-Gavino-di-Carbini 2A300 Zone d'intervention prioritaire,San-Gavino-di-Carbini,2A300,41.7207710,9.1471586
Alta-Rocca 2A07 Llevie 2A142 Zone d'intervention prioritaire,Llevie,2A142,,
Alta-Rocca 2A07 Carbini 2A061 Zone d'intervention prioritaire,Carbini,2A061,41.6790829,9.1469580
Alta-Rocca 2A07 Zoza 2A363 Zone d'intervention prioritaire,Zoza,2A363,41.7175568,9.0701469
Alta-Rocca 2A07 Olmiccia 2A191 Zone d'intervention prioritaire,Olmiccia,2A191,41.6931445,9.0595342
Alta-Rocca 2A07 Quenza 2A254 Zone d'intervention prioritaire,Quenza,2A254,41.7668251,9.1402288
Alta-Rocca 2A07 Sainte-Lucie-de-Tallano 2A308 Zone d'intervention prioritaire,Sainte-Lucie-de-Tallano,2A308,41.6976517,9.0640400
Alta-Rocca 2A07 Sorbollano 2A285 Zone d'intervention prioritaire,Sorbollano,2A285,41.7522910,9.1092662
Alta-Rocca 2A07 Aulléne 2A024 Zone d'intervention prioritaire,Aulléne,2A024,41.7728535,9.0805599
Alta-Rocca 2A07 Serra-di-Scopaméne 2A278 Zone d'intervention prioritaire,Serra-di-Scopaméne,2A278,41.7539523,9.0981188
Alta-Rocca 2A07 Mela 2A158 Zone d'intervention prioritaire,Mela,2A158,41.6962188,9.0944928
Cap Corse 2B23 Tomino 2B327 Zone d'intervention prioritaire,Tomino,2B327,42.9456543,9.4424415
Cap Corse 2823 Rogliano 28261 Zone d'intervention prioritaire,Rogliano,28261,42.9550038,9.4167858
Cap Corse 2823 Barrettali 28030 Zone d'intervention prioritaire,Barrettali,28030,42.8765973,9.3551309
Cap Corse 2823 Luri 28152 Zone d'intervention prioritaire,Luri,28152,42.8974121,9.4074230
Cap Corse 2823 Pietracorbara 28224 Zone d'intervention prioritaire,Pietracorbara,28224,42.8456516,9.4292804
Cap Corse 2823 Ersa 28107 Zone d'intervention prioritaire,Ersa,28107,42.9754319,9.3801722
Cap Corse 2823 Pino 28233 Zone d'intervention prioritaire,Pino,28233,42.9080677,9.3518043
Cap Corse 2823 Cagnano 28046 Zone d'intervention prioritaire,Cagnano,28046,42.8749176,9.4312366
Cap Corse 2823 Centuri 28086 Zone d'intervention prioritaire,Centuri,28086,42.9605846,9.3682432
Cap Corse 2823 Morsiglia 28170 Zone d'intervention prioritaire,Morsiglia,28170,42.9430118,9.3677363
Cap Corse 2823 Meria 28159 Zone d'intervention prioritaire,Meria,28159,42.9265964,9.4528504
Corte 2817 Castirla 28083 Zone d'intervention prioritaire,Castirla,28083,42.3728484,9.1443514
Corte 2817 Piedicorte-di-Gaggio 28218 Zone d'intervention prioritaire,Piedicorte-di-Gaggio,28218,42.2354800,9.3279100
Corte 2817 Rospigliani 2B263 Zone d'intervention prioritaire,Rospigliani,2B263,42.1904198,9.2299352
Corte 2817 Santa-Lucia-di-Mercurio 28306 Zone d'intervention prioritaire,Santa-Lucia-di-Mercurio,28306,42.3267987,9.2208627
Corte 2817 Calacuccia 28047 Zone d'intervention prioritaire,Calacuccia,28047,42.3369329,9.0153921
Corte 2B17 Castellare-di-Mercurio 28078 Zone d'intervention prioritaire,Castellare-di-Mercurio,28078,42.3111266,9.2454923
Corte 2B17 Mazzola 2B157 Zone d'intervention prioritaire,Mazzola,2B157,42.3019863,9.3091592
Corte 2817 Soveria 28289 Zone d'intervention prioritaire,Soveria,28289,42.3591742,9.1645237
Corte 2817 Bustanico 28045 Zone d'intervention prioritaire,Bustanico,28045,42.3211444,9.3024057
Corte 2B17 Tralonca 28329 Zone d'intervention prioritaire,Tralonca,28329,42.3430486,9.2083847
Corte 2817 Erbajolo 28105 Zone d'intervention prioritaire,Erbajolo,28105,42.2639526,9.2830242
Corte 2817 Alzi 28013 Zone d'intervention prioritaire,Alzi,28013,42.3034605,9.3018489
Corte 2817 Vezzani 28347 Zone d'intervention prioritaire|,Vezzani,28347,42.1736200,9.2461000
Corte 2B17 Casamaccioli 28073 Zone d'intervention prioritaire,Casamaccioli,28073,42.3180900,9.0025398
Corte 2B17 Pianello 28213 Zone d'intervention prioritaire,Pianello,28213,42.2903485,9.3598147
Corte 2817 Lozzi 28147 Zone d'intervention prioritaire,Lozzi,28147,42.3451251,9.0037684
Corte 2817 Corte 28096 Zone d'intervention prioritaire,Corte,28096,42.3052904,9.1511935
Corte 2817 Pancheraccia 28201 Zone d'intervention prioritaire,Pancheraccia,28201,42.2186817,9.3715298
Corte 2817 Sant'Andréa-di-Bozio 28292 Zone d'intervention prioritaire,Sant'Andréa-di-Bozio,28292,42.2966208,9.3047651
Corte 2817 Altiani 28012 Zone d'intervention prioritaire,Altiani,28012,42.2368100,9.2904500
Corte 2817 Venaco 28341 Zone d'intervention prioritaire,Venaco,28341,42.2318667,9.1725660
Corte 2817 Casanova 28074 Zone d'intervention prioritaire,Casanova,28074,42.2543336,9.1746169
Corte 2817 Alando 28005 Zone d'intervention prioritaire,Alando,28005,42.3063333,9.2906225
Corte 2817 Muracciole 28171 Zone d'intervention prioritaire,Muracciole,28171,42.1693962,9.1840119
Corte 2B17 Vivario 2B354 Zone d'intervention prioritaire,Vivario,2B354,42.1721316,9.1696353
Corte 2817 Riventosa 28260 Zone d'intervention prioritaire,Riventosa,28260,42.2522735,9.1835672
Corte 2317 Sermano 28275 Zone d'intervention prioritaire,Sermano,28275,42.3139200,9.2671600
Corte 2817 Poggio-di-Venaco 28238 Zone d'intervention prioritaire,Poggio-di-Venaco,28238,42.2576499,9.1863476
Corte 2817 Corscia 2B095 Zone d'intervention prioritaire,Corscia,2B095,42.3553585,9.0440062
Corte 2B17 Pietraserena 2B226 Zone d'intervention prioritaire,Pietraserena,2B226,42.2366842,9.3449444
