code_insee,commune,dep,latitude,longitude
59003,Jeumont,59,50.2971012,4.0996569
59012,Fourmies,59,50.0171741,4.0458492
59016,Cappelle-la-Grande,59,50.9977218,2.3677943
59021,Maubeuge,59,50.2796417,3.9674127
59033,Aulnoye-Aymeries,59,50.2002502,3.8336383
59038,Douchy-les-Mines,59,50.2988884,3.3909158
59041,Bachant,59,50.2141642,3.8636183
59045,Baives,59,50.0629493,4.2022012
59055,Bazuel,59,50.0918580,3.5894958
59058,Beaufort,59,50.2144406,3.9615305
59061,Beaurepaire-sur-Sambre,59,50.0621813,3.7957516
59066,Bérelles,59,50.2171602,4.1030151
59068,Berlaimont,59,50.2026418,3.8123133
59072,Bersillies,59,50.3222465,4.0053823
59076,Bettignies,59,50.3351298,3.9740371
59101,Bousignies-sur-Roc,59,50.2639635,4.1819027
59103,Boussières-sur-Sambre,59,50.2393544,3.8811687
59104,Boussois,59,50.2906747,4.0391856
59112,Bruay-sur-l'Escaut,59,50.3972770,3.5379105
59131,Cappelle-la-Grande,59,50.9977218,2.3677943
59137,Catillon-sur-Sambre,59,50.0735346,3.6422158
59142,Cerfontaine,59,50.2598795,4.0249254
59147,Choisies,59,50.2139191,4.0402669
59151,Colleret,59,50.2563884,4.0755510
59153,Condé-sur-l'Escaut,59,50.4483415,3.5928883
59157,Cousolre,59,50.2452615,4.1523121
59159,Craywick,59,50.9706858,2.2358159
59160,Crespin,59,50.4177989,3.6613971
59164,Croix-Caluyau,59,50.1516455,3.5865851
59169,Damousies,59,50.2194073,4.0145403
59174,Dimechaux,59,50.1941548,4.0392201
59179,Douchy-les-Mines,59,50.2988884,3.3909158
59181,Dourlers,59,50.1759179,3.9381948
59187,Éclaibes,59,50.2042688,3.9351525
59188,Écuélin,59,50.1938371,3.9088950
59190,Élesmes,59,50.3080764,4.0097998
59198,Eppe-Sauvage,59,50.1203879,4.1776818
59205,Escaudain,59,50.3333247,3.3438289
59207,Escautpont,59,50.4241000,3.5517500
59225,Feignies,59,50.2954202,3.9144090
59229,Féron,59,50.0476108,4.0251871
59230,Ferrière-la-Grande,59,50.2560051,3.9942662
59231,Ferrière-la-Petite,59,50.2395996,4.0241830
59241,Floyon,59,50.0409979,3.8849463
59246,Forest-en-Cambrésis,59,50.1401977,3.5702133
59249,Fourmies,59,50.0171741,4.0458492
